,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
19,23.04,23.04,0.14,0.14,0.14,0.14,0.14,0.145,0.17800000000000002,0.203,0.17800000000000002,0.17800000000000002,0.221,0.245,0.17,0.14800000000000002,0.14,0.14,0.14,0.14800000000000002,0.245,0.221,0.221,0.203,0.245,0.18899999999999997,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.145,23.04,0.142,0.14,0.18899999999999997,23.04,23.04,23.04,23.04,23.04,0.275,0.14,0.14
20,0.14,23.04,1.155,0.14,0.14,0.245,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,0.158,0.14,0.14,0.14,0.14,0.14,0.14,0.146,0.142,0.14,0.14,0.14,0.14,0.145,0.14400000000000002,0.14,0.18899999999999997,23.04,23.04,23.04,23.04,0.14300000000000002
21,0.14,0.14,23.04,23.04,0.14,0.14,0.14,0.14,0.509,23.04,23.04,0.145,0.14,0.142,1.155,1.155,0.142,0.14,0.14300000000000002,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,0.17800000000000002,0.14,0.17,23.04,23.04,0.154,0.14,0.14,0.363,23.04,23.04,23.04,23.04,0.14,0.14,0.14,0.14
22,23.04,23.04,0.42700000000000005,0.221,0.203,0.221,0.245,0.245,0.221,0.363,0.363,0.313,0.363,0.42700000000000005,0.9279999999999999,1.155,0.752,0.509,0.509,0.509,0.509,0.275,0.509,1.155,1.155,0.9279999999999999,1.155,1.155,0.509,0.141,0.14,0.142,0.616,0.509,0.14,0.14,0.14,0.14,0.14,0.142,23.04,23.04,23.04,23.04,23.04,0.42700000000000005,0.14,0.14
23,0.146,0.14,23.04,23.04,0.616,0.245,0.221,0.245,0.245,0.245,0.221,0.203,0.245,0.203,0.245,0.245,0.363,0.616,0.616,0.509,0.616,0.9279999999999999,1.155,1.446,0.752,0.313,1.155,0.9279999999999999,2.3040000000000003,2.3040000000000003,23.04,1.446,2.3040000000000003,23.04,23.04,23.04,23.04,0.151,0.14,0.14800000000000002,1.155,0.14400000000000002,0.14,0.14,0.14,0.17,23.04,0.14
24,23.04,23.04,23.04,0.9279999999999999,0.509,0.616,0.509,0.363,0.752,0.9279999999999999,1.821,2.3040000000000003,1.446,0.9279999999999999,0.752,1.155,23.04,1.446,0.9279999999999999,2.3040000000000003,23.04,0.616,0.14,0.14,0.14300000000000002,1.446,2.3040000000000003,0.145,0.14,0.14,0.14,0.142,23.04,2.3040000000000003,0.145,0.14,0.14,0.14,0.14,0.14800000000000002,23.04,23.04,23.04,23.04,23.04,0.616,0.14,0.14
25,0.14,0.14,23.04,23.04,0.203,0.151,0.158,0.163,0.154,0.17,0.163,0.158,0.17,0.158,0.17,0.17800000000000002,0.203,0.363,0.313,0.245,0.203,0.275,0.275,0.221,0.221,0.313,0.363,0.616,0.313,0.616,0.9279999999999999,1.446,1.446,1.446,0.9279999999999999,0.509,0.313,0.14,0.14,0.14,0.363,2.3040000000000003,23.04,23.04,23.04,23.04,23.04,0.14
26,23.04,23.04,0.509,0.221,0.17800000000000002,0.18899999999999997,0.18899999999999997,0.17800000000000002,0.245,0.313,0.313,0.42700000000000005,0.616,0.509,0.313,0.509,0.509,0.42700000000000005,0.221,0.363,0.509,0.363,0.313,0.313,0.42700000000000005,0.616,0.509,1.155,1.821,1.155,1.821,23.04,23.04,23.04,23.04,23.04,23.04,0.158,0.14,0.154,23.04,0.245,0.14,0.14,0.14,0.14,0.14,0.14
27,0.14,23.04,23.04,0.313,0.158,0.158,0.17800000000000002,0.203,0.203,0.203,0.18899999999999997,0.221,0.221,0.221,0.221,0.221,0.245,0.245,0.221,0.17800000000000002,0.203,0.245,0.363,0.509,1.155,0.616,0.275,0.313,0.9279999999999999,0.752,2.3040000000000003,1.155,0.752,0.203,0.14,0.14,0.14,0.14,0.14,0.14,1.446,23.04,23.04,23.04,23.04,23.04,23.04,0.14
28,23.04,0.14,23.04,23.04,0.203,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,23.04,23.04
